Pressure Altitude [ft],Condition,-20°C,0°C,10°C,20°C,30°C,40°C,50°C
0,Ground Roll,191,220,236,253,270,297,334
0,At 50 ft obstacle,298,344,369,396,423,466,527
1000,Ground Roll,204,236,253,271,289,318,358
1000,At 50 ft obstacle,319,369,395,424,453,500,565
2000,Ground Roll,219,253,271,291,310,341,384
2000,At 50 ft obstacle,342,395,423,455,485,536,605
3000,Ground Roll,235,271,290,312,333,366,412
3000,At 50 ft obstacle,367,424,454,488,520,574,649
4000,Ground Roll,252,291,311,334,357,393,442
4000,At 50 ft obstacle,394,457,489,523,558,616,696
5000,Ground Roll,270,312,332,359,383,422,474
5000,At 50 ft obstacle,423,488,523,561,599,661,747
6000,Ground Roll,290,335,359,385,411,453,509
6000,At 50 ft obstacle,454,524,562,603,644,710,803
7000,Ground Roll,318,367,393,423,451,496,558
7000,At 50 ft obstacle,497,575,615,661,706,778,880
8000,Ground Roll,349,403,431,464,494,544,612
8000,At 50 ft obstacle,545,630,675,726,773,853,964
9000,Ground Roll,386,446,478,515,547,602,678
9000,At 50 ft obstacle,603,698,748,806,857,946,1069
10000,Ground Roll,428,494,529,572,606,667,751
10000,At 50 ft obstacle,670,774,829,896,950,1049,1185
